"arrivalTime","processTime"
2,3
2,3
2,3
3,2
3,2
3,2
3,3
4,4
4,1
5,3
6,4
6,1
7,4
7,4
7,5
7,3
8,2
9,1
10,2
10,3
11,4
11,3
13,2
14,1
14,4
14,2
15,2
16,4
17,3
18,2
18,3
18,3
18,3
18,3
19,3
20,4
20,4
21,3
21,2
22,3
22,3
24,3
24,3
24,4
25,4
25,2
26,2
26,3
26,2
27,3
27,4
27,2
27,4
28,2
29,3
32,4
33,2
33,2
33,3
34,3
34,3
34,2
35,1
35,3
36,3
37,2
38,1
38,2
38,3
38,4
39,4
40,2
41,3
42,3
42,4
42,4
43,4
43,2
44,3
44,4
44,3
45,5
45,3
45,4
46,4
46,2
46,2
46,4
47,3
47,3
47,2
47,4
48,2
49,3
50,2
51,3
52,4
52,4
52,2
52,2
52,2
54,2
54,4
54,2
56,2
56,3
57,2
57,3
57,3
57,2
58,5
59,3
61,3
61,4
62,2
64,3
64,4
65,3
65,3
66,3
67,3
67,5
68,4
70,3
70,5
71,2
72,5
72,2
73,3
73,2
73,3
74,3
75,3
76,3
76,3
77,2
77,2
77,3
77,3
78,2
80,3
80,3
83,3
84,3
85,3
86,5
86,3
86,3
86,2
87,3
88,3
88,3
90,3
90,4
90,2
91,3
92,2
93,4
93,2
95,2
95,1
96,2
96,4
97,3
98,3
98,2
100,3
100,4
104,4
104,2
105,1
105,3
106,3
106,2
106,3
107,2
107,2
109,2
110,3
110,4
110,3
111,2
111,2
112,3
113,2
113,4
114,4
114,4
115,4
116,3
117,3
117,2
117,3
119,5
119,3
119,2
119,3
119,3
119,2
120,3
120,5
121,3
121,3
122,3
122,2
123,2
125,3
126,4
127,2
127,3
128,3
128,3
128,4
128,4
129,3
129,4
130,3
130,4
130,2
130,2
131,2
132,4
134,1
134,4
134,3
135,2
135,2
136,2
137,5
138,1
139,4
139,3
139,3
140,3
141,4
141,4
142,3
142,3
143,4
145,3
145,3
146,3
147,4
148,4
149,2
149,4
149,2
151,3
152,3
152,2
153,3
153,3
155,3
155,4
156,4
158,3
158,2
159,5
160,1
160,3
161,1
161,5
162,4
163,4
163,2
163,4
165,4
166,2
166,1
166,2
167,4
167,1
168,4
168,5
169,1
169,4
169,3
170,4
171,1
173,4
173,5
173,3
174,3
175,2
175,4
176,4
176,3
176,2
177,1
177,4
178,1
178,3
180,3
181,3
181,3
182,4
182,5
182,2
183,4
183,3
184,5
184,3
185,5
186,3
187,2
187,4
187,4
188,1
188,3
189,3
189,5
189,1
191,3
191,4
192,3
192,3
193,4
194,3
194,5
194,2
195,2
195,2
195,2
196,3
197,3
197,4
197,3
197,3
197,2
197,3
198,4
198,3
198,3
199,4
199,3
200,1
200,2
201,1
201,2
201,3
203,3
203,3
203,3
203,5
204,3
204,3
205,4
206,3
206,3
207,1
207,3
208,2
208,4
208,3
209,3
209,2
210,3
211,2
213,4
214,4
215,3
215,4
215,3
215,4
216,3
217,2
217,1
218,3
219,3
219,4
219,4
219,3
220,2
221,3
221,1
222,3
223,4
224,4
226,2
226,3
227,2
227,2
228,4
228,5
229,1
229,3
230,4
231,4
231,3
231,2
232,3
232,2
232,3
233,3
233,2
233,2
234,3
235,4
235,3
236,3
236,3
238,3
238,3
239,1
240,3
240,2
241,3
242,3
243,2
243,3
244,3
244,5
245,3
246,3
246,3
246,4
247,4
247,3
248,3
249,3
249,3
249,4
250,2
250,3
251,4
252,3
253,2
253,2
253,4
254,2
255,4
256,4
256,1
256,2
256,4
257,3
258,2
258,3
259,5
259,5
260,1
260,2
261,5
261,3
262,4
262,2
263,4
263,3
264,4
264,2
265,2
265,2
266,1
266,3
266,4
266,3
267,2
268,4
268,3
268,3
269,4
272,4
272,3
272,3
273,1
274,4
274,2
275,3
276,2
276,3
277,4
277,3
277,3
278,2
278,3
279,4
279,3
281,3
281,3
281,1
281,4
281,2
283,5
283,2
284,3
284,3
284,4
284,2
286,3
287,3
288,4
288,2
290,3
290,3
292,2
293,2
293,4
294,3
294,2
296,4
297,1
297,4
298,5
298,3
299,4
299,4
301,4
302,1
302,3
303,2
305,3
306,3
306,5
307,4
309,5
311,3
311,3
312,2
314,2
314,4
315,2
315,2
315,3
316,2
316,4
317,1
317,4
317,3
318,2
318,2
318,4
320,3
320,4
321,2
325,6
325,2
325,3
326,3
326,3
327,2
