"arrivalTime","processTime"
1,1
1,4
1,3
1,2
1,3
1,4
1,4
1,5
1,3
2,4
2,3
2,3
2,3
2,4
2,3
2,4
2,4
2,3
2,1
2,2
2,3
2,2
2,2
2,3
2,3
2,2
2,4
3,1
3,3
3,3
3,1
3,2
3,2
3,4
3,4
3,2
3,5
3,4
3,2
3,2
3,5
4,3
4,3
4,3
4,4
4,2
4,4
4,2
4,3
4,3
4,3
4,4
4,4
4,1
4,3
4,3
5,5
5,3
5,3
5,4
5,3
5,2
5,2
5,1
5,3
5,3
5,4
5,3
5,4
5,2
6,4
6,3
6,2
6,4
6,2
6,3
6,5
6,5
6,4
6,4
6,2
6,3
6,3
6,2
6,3
6,2
6,3
6,3
7,3
7,3
7,4
7,4
7,4
7,3
7,4
7,6
7,3
7,3
7,5
7,4
7,2
8,4
8,3
8,4
8,5
8,1
8,1
8,3
8,4
8,3
8,5
8,2
8,4
8,6
8,5
8,3
8,1
8,3
9,2
9,3
9,2
9,3
9,3
9,3
9,4
9,4
9,4
9,1
9,5
9,3
9,3
9,3
9,3
9,3
9,4
9,4
9,2
10,2
10,2
10,2
10,4
10,2
10,3
10,4
10,1
10,3
10,3
10,3
10,5
10,4
10,3
11,2
11,3
11,3
11,3
11,1
11,3
11,4
11,1
11,4
11,3
11,4
11,1
11,4
11,2
12,1
12,4
12,2
12,3
12,4
12,3
12,4
12,4
12,3
12,4
12,4
12,4
12,4
12,2
12,3
13,3
13,3
13,5
13,4
13,3
13,3
13,3
13,2
13,1
13,3
13,4
13,3
13,1
13,3
14,5
14,2
14,3
14,2
14,2
14,3
14,4
14,4
14,5
14,2
14,5
14,4
14,2
14,3
14,3
14,3
14,3
15,2
15,2
15,1
15,4
15,3
15,5
15,2
15,3
15,4
15,2
15,3
15,5
15,2
15,2
15,2
15,2
15,3
15,3
15,3
15,4
16,3
16,3
16,4
16,4
16,4
16,4
16,2
16,2
16,4
16,3
16,2
16,2
16,4
16,1
17,2
17,3
17,4
17,4
17,1
17,3
17,4
17,3
17,3
17,3
17,2
17,2
17,4
17,3
17,3
17,3
17,3
17,3
17,1
17,3
17,3
17,2
18,4
18,4
18,1
18,3
18,3
18,4
18,5
18,2
18,3
18,2
18,3
18,5
18,4
18,3
18,3
19,3
19,3
19,3
19,1
19,2
19,1
19,3
19,3
19,3
19,5
19,2
19,4
20,2
20,1
20,3
20,3
20,3
20,2
20,3
20,4
20,2
20,3
20,2
20,3
20,4
20,1
20,4
20,4
21,4
21,4
21,6
21,3
21,3
21,2
21,2
21,2
21,3
21,4
21,2
21,2
21,1
22,4
22,1
22,3
22,3
22,4
22,4
22,4
22,2
22,3
22,2
22,4
22,4
22,3
22,5
23,3
23,5
23,4
23,1
23,4
23,4
23,2
23,3
23,2
23,3
23,1
23,3
23,3
23,2
23,3
23,1
23,3
24,4
24,3
24,3
24,4
24,4
24,3
24,4
24,4
24,4
24,3
24,2
24,3
24,4
24,4
24,2
24,4
24,4
24,3
24,4
24,5
24,3
24,1
24,2
24,4
25,3
25,5
25,2
25,3
25,3
25,3
25,2
25,3
25,2
25,4
25,4
25,3
25,3
25,2
25,2
25,2
25,3
25,3
26,2
26,4
26,3
26,4
26,4
26,3
26,5
26,4
26,4
26,1
26,1
26,3
26,5
26,3
26,2
26,2
26,4
26,3
26,2
26,2
27,1
27,3
27,3
27,2
27,3
27,4
27,4
27,2
27,2
27,3
27,2
27,4
27,4
27,3
28,3
28,3
28,3
28,2
28,4
28,4
28,2
28,1
28,4
28,4
28,3
28,3
28,3
28,2
28,4
28,3
28,3
28,3
29,4
29,4
29,3
29,4
29,4
29,2
29,3
29,2
29,2
29,3
29,4
29,2
29,3
29,4
29,2
29,3
29,4
29,2
29,3
30,3
30,2
30,4
30,4
30,3
30,4
30,2
30,3
30,3
30,3
30,2
30,4
30,4
30,4
30,3
30,1
30,4
30,3
30,4
30,2
30,2
31,4
31,2
31,3
31,4
31,3
31,3
31,2
31,2
31,3
31,2
31,3
31,2
31,5
31,2
31,4
31,4
31,3
31,3
31,4
31,2
31,1
32,3
32,4
32,4
32,3
32,4
32,3
32,2
32,4
32,4
32,3
32,3
32,5
32,4
33,3
33,3
33,2
33,3
33,3
33,3
33,4
33,1
33,3
33,5
33,2
33,4
33,2
33,5
33,4
33,3
34,2
34,3
34,2
34,2
34,3
34,2
34,4
34,4
34,3
34,3
34,2
34,2
34,3
34,2
34,2
34,4
35,3
35,3
35,5
35,3
35,2
35,3
35,4
35,4
35,3
35,2
35,3
35,3
35,6
35,1
35,3
35,3
35,3
35,1
36,4
36,2
36,3
36,3
36,5
36,3
36,2
36,2
36,3
36,2
36,4
36,5
36,1
37,4
37,3
37,2
37,2
37,3
37,2
37,1
37,3
37,3
37,2
37,2
37,2
37,2
37,4
37,3
37,3
37,4
38,3
38,5
38,2
38,4
38,1
38,4
38,4
38,3
38,4
38,3
38,4
38,4
38,4
38,4
38,4
38,2
38,2
38,4
38,3
38,2
38,2
38,3
39,3
39,1
39,2
39,3
39,3
39,5
39,4
39,1
39,3
39,2
39,5
39,3
40,2
40,4
40,3
40,2
40,2
40,3
40,4
40,3
40,3
40,4
40,4
40,3
40,3
40,3
40,3
40,5
40,4
40,2
40,1
41,4
41,3
41,2
41,1
41,3
41,4
41,4
41,1
41,5
41,1
41,2
42,4
42,2
42,2
42,2
42,5
42,4
42,5
42,4
42,3
42,3
42,2
42,4
42,3
42,5
42,3
42,4
43,4
43,5
43,2
43,4
43,3
43,3
43,4
43,4
43,4
43,2
43,1
43,3
43,6
43,4
43,4
43,5
44,6
44,4
44,4
44,3
44,3
44,3
44,4
44,3
44,4
44,3
44,3
44,4
44,1
44,4
44,3
44,1
44,2
45,2
45,2
45,3
45,3
45,5
45,2
45,4
45,3
45,2
45,2
45,3
45,2
45,3
45,3
46,3
46,3
46,3
46,4
46,3
46,3
46,5
46,3
46,2
46,4
46,2
46,3
46,3
46,3
46,4
46,3
46,4
46,3
46,3
46,1
46,1
47,3
47,3
47,3
47,1
47,5
47,2
47,4
47,3
47,4
47,4
47,3
47,4
47,2
47,4
47,4
47,4
47,2
48,3
48,6
48,2
48,4
48,2
48,3
48,3
48,2
48,2
48,3
48,2
48,4
48,3
48,2
48,3
48,4
48,2
48,3
48,4
48,3
48,4
49,3
49,1
49,3
49,3
49,5
49,3
49,3
49,2
49,1
49,4
49,3
49,4
49,4
49,4
49,3
49,4
49,3
49,3
49,3
50,2
50,3
50,4
50,3
50,2
50,3
50,2
50,3
50,2
50,4
50,4
50,2
50,3
50,3
50,4
50,6
50,3
50,2
50,4
51,3
51,5
51,3
51,2
51,2
51,4
51,1
51,2
51,4
51,3
51,4
51,3
51,4
51,2
51,1
51,2
51,3
52,3
52,3
52,5
52,2
52,4
52,4
52,4
52,4
52,2
52,3
52,4
53,2
53,3
53,2
53,3
53,3
53,4
53,2
53,2
53,3
53,4
53,2
54,2
54,4
54,1
54,2
54,4
54,2
54,2
54,2
54,3
54,1
54,4
54,3
54,3
54,3
55,3
55,3
55,4
55,3
55,5
55,1
55,4
55,3
55,1
55,3
55,2
55,3
55,4
55,3
55,4
55,5
55,4
56,3
56,2
56,4
56,2
56,4
56,3
56,4
56,5
56,3
56,4
56,2
56,2
56,4
56,3
56,2
56,3
56,1
56,3
56,2
56,4
57,3
57,3
57,3
57,3
57,4
57,4
57,5
57,2
57,1
57,3
57,4
57,4
57,4
57,2
57,3
57,1
58,2
58,6
58,4
58,3
58,2
58,4
58,3
58,2
58,3
58,2
58,2
58,3
58,2
58,2
58,2
59,2
59,4
59,4
59,2
59,2
59,1
59,3
59,2
59,1
59,3
59,3
59,2
59,3
59,4
59,3
59,1
59,1
59,5
59,1
59,6
60,4
60,3
60,5
60,3
60,3
60,4
60,3
60,3
60,2
60,4
60,2
60,3
60,3
60,3
60,4
60,3
60,4
61,3
61,3
61,3
61,1
61,3
61,4
61,3
61,3
61,2
61,4
61,5
61,5
61,3
61,2
61,4
61,4
62,2
62,4
62,2
62,3
62,2
62,2
62,5
62,4
62,4
62,4
62,3
62,4
62,2
62,2
62,2
62,2
62,3
62,5
62,3
62,4
62,1
62,2
63,3
63,1
63,5
63,3
63,3
63,3
63,2
63,1
63,2
63,1
63,2
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,2
64,2
64,4
64,4
64,2
64,3
64,3
64,2
64,2
64,3
64,2
65,4
65,4
65,1
65,3
65,4
65,3
65,3
65,2
66,5
66,4
66,5
66,2
66,3
66,3
66,2
66,3
66,2
66,4
66,3
66,4
66,3
66,3
66,1
66,5
67,4
67,4
67,5
67,2
67,4
67,1
67,3
67,3
67,3
67,5
67,2
67,4
67,5
67,4
67,2
67,3
67,3
67,5
67,3
67,3
67,5
67,2
67,4
67,2
67,2
68,3
68,2
68,4
68,3
68,5
68,3
68,2
68,2
68,2
68,3
68,3
68,3
69,4
69,3
69,6
69,2
69,3
69,2
69,2
69,3
69,2
69,1
69,4
69,3
69,1
69,4
69,2
69,3
69,3
69,1
69,2
69,1
70,2
70,3
70,2
70,1
70,2
70,5
70,3
70,4
70,2
70,2
70,3
70,3
70,1
70,3
70,3
70,3
70,3
70,2
70,3
70,4
70,2
70,4
70,2
70,5
71,3
71,3
71,3
71,4
71,3
71,3
71,3
71,4
71,4
71,4
71,5
71,3
71,4
71,3
71,2
71,3
71,5
71,3
72,3
72,3
72,3
72,4
72,3
72,4
72,2
72,2
72,2
72,4
72,4
72,3
72,2
72,4
73,3
73,4
73,4
73,5
73,3
73,2
73,4
73,4
73,4
73,3
73,3
73,3
73,4
73,5
73,1
73,3
73,3
73,4
73,2
74,3
74,3
74,2
74,2
74,2
74,3
74,2
74,2
74,2
74,3
74,2
74,3
74,4
74,3
74,3
74,4
75,3
75,3
75,1
75,5
75,4
75,2
75,3
75,2
75,2
75,3
75,2
75,3
75,3
75,4
75,3
75,2
75,2
75,4
76,2
76,3
76,1
76,2
76,3
76,5
76,3
76,4
76,3
76,4
76,3
76,3
77,1
77,5
77,3
77,1
77,2
77,3
77,5
77,2
77,3
77,3
77,2
77,3
77,3
77,1
77,4
77,5
77,3
77,4
77,3
77,3
77,4
77,4
77,2
77,1
78,3
78,5
78,6
78,2
78,3
78,3
78,3
78,4
78,3
78,3
78,3
78,3
78,1
78,3
78,2
78,4
78,4
78,3
79,4
79,3
79,3
79,2
79,2
79,2
79,3
79,3
79,5
79,4
79,2
79,3
79,5
79,3
79,2
79,4
79,3
79,4
80,3
80,3
80,3
80,2
80,4
80,4
80,2
80,3
80,3
80,3
80,2
80,4
80,4
80,2
80,3
80,4
80,4
80,5
80,2
80,2
80,4
81,4
81,3
81,3
81,3
81,3
81,1
81,4
81,2
81,5
81,4
81,2
81,3
81,3
81,5
81,5
81,3
82,1
82,3
82,4
82,3
82,3
82,5
82,4
82,4
82,3
82,4
82,3
82,3
82,3
82,3
82,3
82,3
82,3
82,5
82,2
82,2
83,2
83,5
83,5
83,2
83,2
83,1
83,2
83,4
83,2
83,4
83,2
83,3
83,4
83,4
83,5
83,1
83,3
83,3
84,3
84,3
84,1
84,3
84,1
84,3
84,5
84,1
84,4
84,4
84,4
84,4
84,2
84,3
84,5
84,5
85,4
85,2
85,4
85,1
85,3
85,2
85,3
85,2
85,2
85,4
85,3
85,4
85,2
85,3
85,4
85,3
85,1
85,4
86,3
86,4
86,3
86,2
86,3
86,3
86,4
86,5
86,3
86,3
86,3
86,6
86,4
86,3
86,2
87,4
87,3
87,2
87,5
87,2
87,5
87,1
87,2
87,3
87,2
87,3
87,3
87,4
87,2
87,4
87,3
87,3
87,4
87,3
88,3
88,4
88,4
88,2
88,3
88,4
88,5
88,3
88,1
88,3
88,3
88,4
88,4
88,4
88,1
88,2
88,3
89,2
89,3
89,3
89,2
89,3
89,3
89,5
89,2
89,3
89,2
89,3
89,1
89,2
89,4
89,2
89,3
89,1
89,3
89,3
90,5
90,3
90,2
90,1
90,3
90,3
90,2
90,5
90,2
90,3
90,4
91,2
91,3
91,1
91,3
91,3
91,1
91,3
91,4
91,2
91,3
91,3
91,4
91,2
91,1
92,3
92,2
92,5
92,3
92,3
92,4
92,4
92,4
92,3
92,3
92,3
92,3
92,3
92,3
92,4
92,4
93,3
93,3
93,3
93,2
93,4
93,1
93,4
93,3
93,2
93,1
93,3
93,1
94,4
94,2
94,2
94,4
94,2
94,5
94,3
94,4
94,4
94,3
94,2
94,6
94,1
94,2
94,5
94,4
94,3
94,1
94,4
94,3
95,4
95,4
95,4
95,3
95,4
95,2
95,3
95,4
95,3
95,4
96,4
96,4
96,3
96,2
96,3
96,3
96,3
96,3
96,4
96,4
96,4
96,3
97,4
97,1
97,2
97,3
97,3
97,2
97,4
97,4
97,3
97,3
97,3
97,2
97,1
97,2
97,1
97,2
97,4
97,4
97,3
97,4
97,3
97,1
97,1
97,3
98,4
98,3
98,4
98,5
98,4
98,3
98,2
98,2
98,5
98,4
98,3
98,3
99,2
99,3
99,2
99,2
99,3
99,1
99,2
99,3
99,3
99,3
99,5
99,2
99,3
99,3
99,3
99,3
99,3
99,1
99,3
100,1
100,3
100,2
100,4
100,3
100,3
100,4
100,2
100,3
100,3
100,3
100,2
100,2
100,4
100,2
100,3
100,2
100,5
100,5
100,2
100,4
100,3
100,2
100,4
100,3
100,3
100,4
100,3
100,2
100,4
100,4
100,2
101,3
101,2
101,1
101,4
101,2
101,2
101,1
101,4
101,4
101,3
101,2
102,3
102,4
102,2
102,2
102,2
102,3
102,2
102,5
102,4
102,5
103,3
103,4
103,3
103,3
103,2
103,3
103,1
103,3
103,2
103,2
103,3
103,5
103,3
104,3
104,3
104,3
104,2
104,3
104,2
104,1
104,3
104,3
104,4
104,3
104,3
104,4
105,4
105,2
105,2
105,2
105,3
105,4
105,2
105,4
105,2
105,4
105,3
105,5
105,4
105,3
105,4
105,3
105,4
105,3
105,2
106,3
106,5
106,1
106,2
106,3
106,3
106,3
106,3
106,3
106,4
106,2
106,3
106,4
106,2
106,3
106,3
106,4
106,1
106,4
106,5
107,4
107,3
107,2
107,4
107,7
107,3
107,3
107,2
107,1
107,3
107,4
107,5
107,3
107,2
107,3
108,3
108,2
108,2
108,4
108,3
108,3
108,3
108,1
108,4
108,4
108,2
108,3
108,3
108,2
108,2
108,4
108,3
108,3
108,3
109,3
109,2
109,2
109,2
109,3
109,2
109,3
109,2
109,5
109,4
109,2
109,3
109,3
109,3
109,3
109,3
109,4
110,5
110,3
110,2
110,4
110,2
110,2
110,3
110,2
110,2
110,3
110,1
110,3
110,3
110,2
110,4
110,2
110,2
110,4
110,3
110,4
110,2
110,5
110,1
110,2
110,4
111,4
111,2
111,4
111,3
111,3
111,3
111,4
111,2
111,3
111,3
111,2
111,3
111,1
111,3
111,3
111,2
111,2
112,2
112,3
112,3
112,4
112,3
112,2
112,4
112,4
112,3
112,3
112,2
112,4
112,1
112,3
112,2
112,4
112,2
112,5
113,1
113,1
113,3
113,2
113,2
113,2
113,2
113,3
113,4
113,3
113,5
113,3
113,3
113,3
113,3
113,2
114,3
114,4
114,5
114,3
114,2
114,3
114,2
114,3
114,5
114,3
114,5
114,4
114,3
114,1
114,5
115,3
115,3
115,3
115,3
115,3
115,4
115,5
115,2
115,2
115,4
115,5
115,4
115,4
115,4
115,3
115,2
116,4
116,3
116,2
116,3
116,1
116,3
116,3
116,3
116,2
116,4
116,4
116,3
116,3
116,3
116,4
116,3
116,2
117,2
117,3
117,3
117,3
117,3
117,3
117,4
117,3
117,3
117,3
117,2
117,2
117,4
117,2
117,3
117,2
117,4
118,4
118,4
118,4
118,2
118,5
118,1
118,3
118,4
118,3
118,2
118,1
118,3
118,3
118,4
118,3
118,4
118,1
118,1
118,4
118,2
118,3
119,2
119,1
119,3
119,2
119,3
119,2
119,1
119,3
119,3
119,5
119,2
119,4
119,3
119,3
119,4
120,4
120,3
120,3
120,3
120,5
120,3
120,2
120,2
120,2
120,3
120,3
120,5
120,3
120,2
120,2
120,2
120,1
120,4
120,4
120,1
121,3
121,4
121,3
121,4
121,2
121,4
121,5
121,3
121,3
121,4
121,3
121,3
121,2
121,4
121,3
121,2
121,4
121,4
121,3
121,2
122,2
122,3
122,1
122,2
122,3
122,2
122,3
122,4
122,3
122,4
122,1
122,2
122,3
122,5
122,4
122,3
122,3
122,2
122,3
122,2
123,4
123,2
123,3
123,2
123,3
123,4
123,3
123,3
123,5
123,3
123,4
123,3
123,2
123,4
123,3
123,2
123,2
123,4
123,4
123,3
123,2
123,3
124,3
124,2
124,4
124,4
124,6
124,1
124,5
124,3
124,4
124,1
124,4
124,5
125,4
125,4
125,2
125,4
125,3
125,3
125,3
125,3
125,3
125,4
125,2
125,2
125,3
126,2
126,2
126,2
126,2
126,5
126,2
126,2
126,2
126,2
126,4
126,3
126,3
126,3
126,2
126,3
126,2
126,3
127,4
127,3
127,2
127,5
127,2
127,4
127,4
127,3
127,4
127,2
127,3
127,3
127,1
127,1
127,3
127,3
127,1
127,5
127,4
127,2
127,3
128,3
128,3
128,3
128,2
128,3
128,3
128,4
128,2
128,3
128,2
128,2
128,3
128,3
128,3
128,1
128,5
128,1
128,3
128,3
128,2
128,4
128,1
128,2
128,3
129,4
129,2
129,2
129,3
129,3
129,4
129,2
129,2
129,3
129,2
129,2
129,5
130,3
130,1
130,3
130,3
130,3
130,3
130,4
130,4
130,3
130,3
130,2
130,2
130,6
130,4
130,2
130,3
131,3
131,3
131,4
131,4
131,3
131,3
131,2
131,3
131,3
131,4
132,1
132,2
132,3
132,2
132,4
132,2
132,4
132,3
132,3
132,2
132,2
132,3
132,2
132,4
132,3
132,5
132,3
132,3
132,3
132,3
132,3
133,3
133,3
133,2
133,3
133,3
133,4
133,3
133,3
133,2
133,3
133,1
133,3
133,2
133,2
133,4
133,2
133,1
134,3
134,3
134,4
134,4
134,3
134,2
134,3
134,3
134,4
134,4
134,3
134,1
134,3
134,3
134,4
134,3
134,3
134,3
134,4
134,3
135,4
135,4
135,3
135,3
135,3
135,2
135,2
135,1
135,3
135,5
135,3
135,2
135,3
135,4
135,2
135,2
136,4
136,3
136,2
136,2
136,3
136,2
136,4
136,3
136,3
136,1
136,2
137,2
137,3
137,2
137,1
137,4
137,3
137,1
137,4
137,3
137,4
137,3
138,5
138,3
138,5
138,5
138,4
138,4
138,3
138,2
138,4
138,5
138,3
138,2
138,2
138,3
138,3
138,4
138,3
138,3
138,2
138,3
139,2
139,4
139,2
139,2
139,3
139,4
139,2
139,4
139,2
139,2
139,5
139,3
139,1
139,5
139,4
140,2
140,2
140,3
140,1
140,4
140,2
140,4
140,4
140,5
140,2
140,2
140,5
140,3
140,4
140,1
140,3
140,2
140,2
140,2
140,3
141,4
141,3
141,2
141,1
141,3
141,3
141,2
141,3
