ID,Lattitude,Longtitude,Add+Sub,location
15,-37.8073834,144.9941797,"217 Langridge St, Abbotsford","Langridge Street, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia"
16,-37.8073234,144.9975737,"18a Mollison St, Abbotsford","Mollison Street, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia"
19,,,"403/609 Victoria St, Abbotsford",
21,-37.796077,144.9987018,"25/84 Trenerry Cr, Abbotsford","Trenerry Crescent, Abbotsford, Clifton Hill, Melbourne, City of Yarra, Victoria, 3068, Australia"
22,-37.7989692,144.9938471,"106/119 Turner St, Abbotsford","Turner Street, Abbotsford, Collingwood, Melbourne, City of Yarra, Victoria, 3066, Australia"
27,-37.796077,144.9987018,"13/84 Trenerry Cr, Abbotsford","Trenerry Crescent, Abbotsford, Clifton Hill, Melbourne, City of Yarra, Victoria, 3068, Australia"
33,-37.8073834,144.9941797,"250 Langridge St, Abbotsford","Langridge Street, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia"
45,-37.796077,144.9987018,"65/80 Trenerry Cr, Abbotsford","Trenerry Crescent, Abbotsford, Clifton Hill, Melbourne, City of Yarra, Victoria, 3068, Australia"
46,-37.8076028,144.9963551,"119/52 Nicholson St, Abbotsford","Nicholson Street, Abbotsford, Melbourne, City of Yarra, Victoria, 3067, Australia"
52,-37.796077,144.9987018,"49/84 Trenerry Cr, Abbotsford","Trenerry Crescent, Abbotsford, Clifton Hill, Melbourne, City of Yarra, Victoria, 3068, Australia"
62,-37.796077,144.9987018,"82/84 Trenerry Cr, Abbotsford","Trenerry Crescent, Abbotsford, Clifton Hill, Melbourne, City of Yarra, Victoria, 3068, Australia"
65,-37.796077,144.9987018,"40/80 Trenerry Cr, Abbotsford","Trenerry Crescent, Abbotsford, Clifton Hill, Melbourne, City of Yarra, Victoria, 3068, Australia"
74,-37.7219251,144.8736745,"4/9 West Ct, Airport West","West Court, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
75,-37.7263219,144.8873116,"1/36 York St, Airport West","York Street, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia"
